"Category Id";"Category Name"
"1020292";"Grocery / Jams, Jellies & Sweet Spreads / Marmalades"
"1020569";"Grocery / Laundry / Bleach"
"1020570";"Grocery / Laundry / Detergent Pacs & Tablets"
"1020571";"Grocery / Laundry / Fabric Deodorizer"
"1020572";"Grocery / Laundry / Fabric Softener"
"1020574";"Grocery / Laundry / Liquid Detergent"
"1020575";"Grocery / Laundry / Powder Detergent"
"1020576";"Grocery / Laundry / Stain Removal"
"1020577";"Grocery / Laundry / Starch & Anti-static Sprays"
"1020590";"Grocery / Paper & Plastic / Disposable Drinkware"
"1020604";"Grocery / Paper & Plastic / Disposable Napkins"
"1020613";"Grocery / Paper & Plastic / Facial Tissues"
"1020614";"Grocery / Paper & Plastic / Paper Towels"
"1020629";"Grocery / Tobacco-Related Products / Cigar Accessories & Humidors"
"1020637";"Grocery / Tobacco-Related Products / Cigarette Accessories"
"1024134";"Health & Beauty / Beauty & Personal Care / Oral Care"
"1024518";"Health & Beauty / Fragrances / Celebrity Fragrances"
"1024519";"Health & Beauty / Fragrances / Unisex"
"1022883";"Health & Beauty / Medical Supplies & Equipment / Funeral"
"1023930";"Health & Beauty / Men's Grooming / Anti-Ageing"
"1024521";"Health & Beauty / Men's Grooming / Pre-Shave"
"1023085";"Health & Beauty / Oral Care / Breath Fresheners"
"1023086";"Health & Beauty / Oral Care / Children's Dental Care"
"1023095";"Health & Beauty / Oral Care / Dental Care Kits"
"1023096";"Health & Beauty / Oral Care / Dental Floss & Picks"
"1023100";"Health & Beauty / Oral Care / Denture Care"
"1023106";"Health & Beauty / Oral Care / Dry Mouth Relief"
"1023107";"Health & Beauty / Oral Care / Infant Dental Care"
"1023108";"Health & Beauty / Oral Care / Mouthwash"
"1023109";"Health & Beauty / Oral Care / Pain Relief & Orthodontics"
"1023114";"Health & Beauty / Oral Care / Teeth Whitening"
"1023115";"Health & Beauty / Oral Care / Tongue Cleaners"
"1023116";"Health & Beauty / Oral Care / Toothbrushes"
"1023122";"Health & Beauty / Oral Care / Toothpaste"
"1023522";"Health & Beauty / Sexual Wellness / Fetish Wear"
"1023548";"Health & Beauty / Sexual Wellness / Sexual Enhancers"
"1023602";"Health & Beauty / Sports Nutrition / Post-Workout & Recovery"
"1023605";"Health & Beauty / Sports Nutrition / Pre-Workout"
"1023628";"Health & Beauty / Sports Nutrition / Testosterone Boosters"
"1023654";"Health & Beauty / Vision Care / Contact Lens Care"
"1023660";"Health & Beauty / Vision Care / Eye Drops, Lubricants & Washes"
"1023661";"Health & Beauty / Vision Care / Eyeglass Chains"
"1023662";"Health & Beauty / Vision Care / Eyeglasses Care"
"1023666";"Health & Beauty / Vision Care / Prescription Contact Lenses"
"1023680";"Health & Beauty / Vitamins & Dietary Supplements / Herbal Supplements"
"1023778";"Health & Beauty / Vitamins & Dietary Supplements / Supplements"
"1023838";"Health & Beauty / Vitamins & Dietary Supplements / Vitamins"
"1023876";"Health & Beauty / Vitamins & Dietary Supplements / Weight Loss"
"1023900";"Health & Beauty / Wellness & Relaxation / Aromatherapy"
"1023904";"Health & Beauty / Wellness & Relaxation / Fitness & Activity Monitors"
"1023906";"Health & Beauty / Wellness & Relaxation / Massage Tools & Equipment"
"1015422";"Home & Office / Tools & Home Improvement / Electrical"
"1016091";"Home & Office / Tools & Home Improvement / Measuring & Layout Tools"
"1016817";"Home & Office / Tools & Home Improvement / Safety & Security"
"1016981";"Home & Office / Tools & Home Improvement / Welding & Soldering"
"1029551";"Livestock / Ruminants / Rams"
"1007288";"Musical Instruments / Amplifiers & Effects / Power Amplifiers"
"1007360";"Musical Instruments / Bass Guitars / Acoustic & Acoustic-Electric Basses"
"1007362";"Musical Instruments / Bass Guitars / Electric Basses"
"1007494";"Musical Instruments / Guitars / Acoustic-Electric Guitars"
"1007495";"Musical Instruments / Guitars / Classical & Nylon-String Guitars"
"1007502";"Musical Instruments / Instrument Accessories / Brass Accessories"
"1007652";"Musical Instruments / Instrument Accessories / Folk & World Instrument Accessories"
"1007878";"Musical Instruments / Keyboards & MIDI / Folk & World"
"1007890";"Musical Instruments / Keyboards & MIDI / Pianos"
"1007926";"Musical Instruments / Live Sound & Stage / Stage & Studio Cables"
"1007959";"Musical Instruments / Stringed Instruments / Folk & World"
"1008023";"Musical Instruments / Studio Recording Equipment / Portable Recorders"
"1008042";"Musical Instruments / Studio Recording Equipment / Studio Monitors"
"1011373";"Pet Supplies / Birds / Cages & Accessories"
"1011391";"Pet Supplies / Birds / Food"
"1011397";"Pet Supplies / Cats / Beds & Furniture"
"1011422";"Pet Supplies / Cats / Collars, Harnesses & Leashes"
"1011442";"Pet Supplies / Cats / Flea & Tick Control"
"1011453";"Pet Supplies / Cats / Food"
"1011466";"Pet Supplies / Cats / Grooming"
"1011484";"Pet Supplies / Cats / Health Supplies"
"1011504";"Pet Supplies / Cats / Litter & Housebreaking"
"1011516";"Pet Supplies / Cats / Toys"
"1011543";"Pet Supplies / Dogs / Beds & Furniture"
"1011554";"Pet Supplies / Dogs / Carriers & Travel Products"
"1011570";"Pet Supplies / Dogs / Collars, Harnesses & Leashes"
"1011607";"Pet Supplies / Dogs / Feeding & Watering Supplies"
